Учим #Карточку_232

RUS -> ENG


p. v.	call for		||требовать; нуждаться||	Desperate times call for desperate measures.

noun	collection	/kəˈlɛkʃən/	||коллекция||	I already started a collection from the neighborhood.

noun	soccer     	/ˈsɑkɝ/	||футбол||	On Friday, she coaches my sister's soccer team.

verb	relate     	/rɪˈleɪt/	||относиться||	They just relate to pay scale.

verb	correct    	/kɝˈɛkt/	||исправлять||	How do you propose to correct this?

noun	government	/ˈgʌvɝnmənt/	||правительство||	The government, spy satellites, private detectives.

adj.	unexpected	/ˌʌnɪˈkspɛktɪd/	||неожиданный||	I have an unexpected house guest.

noun	puzzle     	/ˈpʌzəl/	||головоломка||	Porter loves his puzzles.

noun	suite      	/ˈswit/	||номер в отеле||	We get the biggest suite in the place.

noun	spring     	/ˈsprɪŋ/	||весна||	Spring break, you're doing frat guys.
